Content3,BandName,BandLength,SpectrometerType,Grating,Supplier,Remark,Content1,Content2,Class,FC,
,NIR4,790-1090nm,"SE, EE, ",1000g 900nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",SE2030(R:1.1)/SE2110(R:1.1)/SE2120(R:1.1)(Raman Detection),,
,,,HB,,,,,,"HB2034(R:0.6)/HB2114(R:0.6)(Raman Detection)
HB2034/HB2094(R:0.6)(OCT Application)",,
,NIR4R,790-1090nm,HB,1000g 900nm,NP,,TL03-000-000050,LP785 785nm OD6 Long pass filter For RAMAN,"HB2034(R:0.6)/HB2114(R:0.6)(Raman Detection)
HB2034/HB2094(R:0.6)(OCT Application)",,
,NIR5,795-1020nm,SE,1200g 850nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIR6,700-1100nm,SE,830g 800nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIR7,800-1020nm,SE,1200g 850nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIR8,800-1100nm,EE,1000g 900nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIR9,840-1060nm,HB,1200g 850nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIR10,800-1100nm,EE,950g1000nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,VV1,730-800nm,OW,1350g 650nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRV1,835-955nm,OW,1000g 900nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRV2,810-875nm,OW,1350g 650nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRV3,920-970nm,OW,1350g 650nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRV4,(待確認),OW,1500g 600nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRV5,845-945nm,OW,1100g 900nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRV7,810-980nm,OW,830g 900nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRV6,960-1000nm,OW,1350g 650nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRV8,1000-1100nm,OW,1000g 900nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIRA,950-1700nm,"SW, RS, VC, CS2SW","236.8g 1350nm, Angle 9.2°",NP,,"TL03-000-000051+
TL03-000-000088","LP875-W-NA-140, Entrance Filter for NIRA, NIRB, NIRC+
LP850-C-NA-002",RS1680(R:11)/RS1780(R:9),,
,NIRA1,950-1700nm,PH-NIR (PH25x4),150g 1250nm,NP,,,,,,
,NIRA2,950-1700nm,PH-NIR (PH25x4),300g 1200nm,NP,,,,,,
